operating_day,hour_beginning,node,bid_mw,bid_type
2022-01-01,0,INDIANA.HUB,0.8693365537738025,INC
2022-01-01,0,LOUISIANA.HUB,0.10358560710902914,DEC
2022-01-01,0,MINN.HUB,0.1266756910637686,DEC
2022-01-01,1,ILLINOIS.HUB,0.450495003600831,DEC
2022-01-01,1,INDIANA.HUB,1.3945982754056028,INC
2022-01-01,1,MINN.HUB,0.48142732111635195,DEC
2022-01-01,1,TEXAS.HUB,0.10572466715280315,INC
2022-01-01,2,ARKANSAS.HUB,0.9401587404523079,INC
2022-01-01,2,ILLINOIS.HUB,0.10744976964855742,DEC
2022-01-01,2,INDIANA.HUB,0.4005847908086699,INC
2022-01-01,2,MICHIGAN.HUB,0.42978140595365505,INC
2022-01-01,2,MINN.HUB,0.10617283106662359,DEC
2022-01-01,2,MS.HUB,1.5760724500802081,INC
2022-01-01,3,INDIANA.HUB,9.29411084159335,INC
2022-01-01,4,ILLINOIS.HUB,0.9230081393183635,INC
2022-01-01,4,LOUISIANA.HUB,0.14430568710238922,INC
2022-01-01,4,MINN.HUB,0.525994602032591,DEC
2022-01-01,5,ARKANSAS.HUB,0.14767406927178633,INC
2022-01-01,5,INDIANA.HUB,0.18645937400938983,INC
2022-01-01,5,MS.HUB,0.18366863389743945,DEC
2022-01-01,5,TEXAS.HUB,0.11676855998622346,INC
2022-01-01,6,ILLINOIS.HUB,0.9977962811903731,INC
2022-01-01,6,INDIANA.HUB,0.4643657032140164,DEC
2022-01-01,6,MINN.HUB,1.2083559054530078,DEC
2022-01-01,6,TEXAS.HUB,0.2708333740510238,INC
2022-01-01,7,ARKANSAS.HUB,0.3801305054420779,DEC
2022-01-01,7,ILLINOIS.HUB,0.20839691329869992,DEC
2022-01-01,7,MS.HUB,0.1076218386186289,INC
2022-01-01,7,TEXAS.HUB,0.10552379491198827,DEC
2022-01-01,8,ILLINOIS.HUB,0.8270283682609975,INC
2022-01-01,8,INDIANA.HUB,1.2797091584372517,INC
2022-01-01,8,LOUISIANA.HUB,3.360642477857286,INC
2022-01-01,8,MICHIGAN.HUB,0.20405077969131172,INC
2022-01-01,8,MS.HUB,2.3783355166942135,INC
2022-01-01,8,TEXAS.HUB,0.24926619131718225,INC
2022-01-01,9,ILLINOIS.HUB,0.9780101678538758,INC
2022-01-01,9,INDIANA.HUB,1.810226294562165,INC
